id	n_token	n_sent	n_word	ld	nn	np	nom	neo	poss	pronoun	p1	p2	p3	pit	pospers1	pospers2	pospers3	adj	atadj	prep	fin	past	will	vm	v	inf	pass	coord	subord	interr	imper	title	salutgreet	rl	rt	nptheme	numbertheme	pptheme	advtheme	cctheme	whtheme	disctheme	totheme	cstheme	subordtheme	verbtheme
a10g01_t1	46	2	43	25	12	0	1	0	0	0	0	0	0	0	0	0	0	2	1	3	5	0	0	0	11	1	1	4	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
a10g01_t2	37	2	35	22	11	0	2	1	0	1	0	0	1	0	0	0	1	5	1	4	3	0	0	0	6	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
a10g01_t3	488	30	430	235	106	12	11	0	6	25	1	1	12	2	2	1	17	23	15	40	60	7	1	6	94	10	5	16	17	1	0	0	0	0	1	13	0	3	3	5	0	0	2	2	4	1
a10g01_t4	212	12	192	110	51	6	7	3	1	6	0	0	3	1	0	0	4	19	16	21	14	2	4	0	34	5	0	9	4	0	0	0	0	1	0	7	0	2	2	1	0	0	0	0	0	0
a10g02_t1	261	6	247	126	59	4	9	1	3	9	0	0	5	1	0	0	8	17	8	28	27	4	0	2	46	6	2	10	11	1	0	0	0	0	2	4	0	1	0	1	0	0	0	0	0	0
a10g02_t2	141	5	134	50	21	2	5	0	6	19	0	0	13	3	0	0	19	1	0	18	16	0	1	1	26	2	0	4	9	0	0	0	0	0	1	2	1	2	0	0	0	0	0	0	0	0
a10g02_t3	221	9	204	93	43	2	2	1	1	11	1	0	9	0	1	0	10	9	5	22	25	1	0	2	39	1	6	7	11	0	0	0	0	0	2	6	1	2	0	0	0	0	0	0	0	0
a10g02_t4	110	5	103	46	22	4	3	0	1	7	0	0	5	2	0	0	6	6	2	16	11	5	0	0	14	3	0	4	3	0	0	0	0	1	0	3	0	1	0	0	0	0	1	0	1	0
a10g03_t1	116	7	108	62	29	4	0	0	4	7	0	0	3	0	0	0	7	9	6	8	12	0	0	1	20	2	0	7	4	0	0	0	0	0	1	5	0	0	0	1	0	0	0	1	1	0
a10g03_t2	300	9	273	136	64	7	6	1	8	24	1	1	12	0	1	3	18	16	8	28	34	7	0	2	48	2	2	12	7	1	0	0	0	0	0	2	0	5	1	1	0	0	0	0	0	0
a10g03_t3	238	8	212	108	48	3	7	1	7	17	1	1	6	3	1	1	13	10	7	16	29	7	0	2	47	5	3	9	6	0	0	0	0	0	1	3	0	1	1	2	0	0	1	0	1	0
a10g03_t4	250	8	231	124	54	14	2	5	3	17	3	1	7	0	4	1	9	12	6	19	26	10	0	3	44	3	3	11	7	0	1	0	0	0	1	4	0	0	2	0	0	0	1	0	1	1
a10g04_t1	191	6	178	92	44	7	9	0	1	8	0	0	7	0	0	0	8	6	5	23	19	6	0	0	35	4	1	4	6	1	0	0	0	0	1	3	0	2	1	0	0	0	0	0	0	0
a10g04_t2	341	19	313	155	71	1	5	1	5	31	9	1	13	1	9	1	18	14	7	29	39	5	0	5	69	7	0	6	6	1	0	0	0	0	3	12	0	1	1	3	0	1	0	1	1	0
a10g04_t3	219	19	195	102	41	2	6	0	2	18	3	0	9	1	3	0	11	16	5	17	28	0	0	2	43	1	4	6	7	4	0	0	0	1	1	6	1	2	3	2	1	2	2	0	2	0
a10g04_t4	199	15	177	91	32	2	3	1	1	23	4	0	13	5	5	0	13	17	10	13	26	8	0	3	40	3	0	6	4	3	0	0	0	0	1	10	0	1	1	1	0	1	0	0	0	1
a10g05_t1	110	3	102	45	24	4	3	0	1	7	0	0	5	0	0	0	6	5	3	17	8	3	0	0	12	0	1	4	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
a10g05_t2	343	13	304	150	72	6	3	1	4	17	2	1	9	2	2	1	13	15	7	24	32	5	1	4	57	8	2	5	10	1	0	0	0	1	1	6	0	5	0	0	0	0	0	2	2	0
a10g05_t3	127	5	117	59	24	2	4	1	3	7	0	0	4	0	0	0	7	5	3	13	14	0	0	1	28	1	3	2	2	0	0	0	0	0	1	3	0	2	0	0	0	0	0	0	0	0
a10g05_t4	249	12	229	119	45	6	4	0	4	17	3	6	3	0	3	7	6	17	9	17	31	0	2	5	51	1	1	10	3	1	2	0	0	1	3	7	0	0	2	0	0	0	0	1	1	2
a10g06_t1	231	8	207	110	55	4	6	1	4	7	0	0	3	1	1	0	6	13	7	17	28	3	0	1	38	1	2	6	14	1	0	0	0	0	2	7	0	0	1	0	0	0	0	0	0	0
a10g06_t2	219	8	197	97	44	0	5	1	2	11	0	0	8	2	0	0	10	17	7	17	20	1	0	1	36	9	0	7	4	0	0	0	0	0	0	3	0	4	0	0	0	0	1	0	1	0
a10g06_t3	214	7	203	95	36	1	5	0	2	15	5	0	7	3	5	0	9	8	4	19	23	3	0	1	50	7	3	4	11	1	0	0	0	0	1	1	1	2	1	1	0	0	1	0	1	0
a10g06_t4	213	7	204	99	45	6	3	3	3	13	2	0	8	4	3	0	10	8	2	21	25	3	0	2	40	5	4	6	12	0	0	0	0	1	0	3	0	2	2	0	0	0	0	0	0	0
a10g07_t1	157	6	144	70	35	4	5	0	5	11	0	0	6	2	0	0	11	5	3	19	16	1	0	0	26	2	1	4	2	1	0	0	0	0	3	4	0	1	0	1	0	0	0	0	0	0
a10g07_t2	143	7	126	68	32	0	3	1	2	9	1	1	5	1	2	1	6	12	5	16	15	2	1	0	24	3	0	2	3	1	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0
a10g07_t3	181	7	166	84	37	3	6	0	5	15	3	1	6	1	3	4	8	9	5	13	18	1	0	3	35	3	3	6	5	0	0	0	0	3	1	5	0	2	0	0	0	0	0	0	0	0
a10g07_t4	160	10	141	75	37	5	8	2	3	6	0	0	3	0	0	0	6	16	13	15	10	0	0	2	17	3	0	5	0	0	0	0	0	1	0	6	1	0	1	1	0	0	1	0	1	0
a10g08_t1	112	5	102	55	23	6	4	2	4	6	0	0	1	0	1	0	4	8	3	14	9	0	0	0	18	1	0	3	2	1	0	0	0	0	2	1	0	3	1	0	0	0	0	0	0	0
a10g08_t2	439	21	378	200	92	0	14	6	8	17	0	0	8	1	0	0	16	33	22	41	36	5	0	1	75	7	8	14	8	0	0	0	0	0	7	17	0	1	3	0	0	0	0	0	0	0
a10g08_t3	188	10	168	87	31	5	6	0	1	10	3	0	5	1	4	0	5	13	9	14	21	0	0	5	38	0	2	8	4	0	1	0	0	4	0	5	0	0	0	2	0	0	1	1	2	1
a10g08_t4	202	12	178	93	34	3	4	1	5	18	2	0	7	3	4	0	10	8	4	15	30	4	0	3	48	5	2	5	3	3	0	0	0	0	0	6	0	1	3	1	1	0	0	0	0	0
a10g09_t1	173	7	164	81	38	4	7	0	2	8	0	0	6	0	1	0	7	11	7	27	15	3	0	2	28	2	2	4	2	1	0	0	0	0	1	3	0	1	2	1	0	0	0	0	0	0
a10g09_t2	276	8	223	113	54	4	9	2	1	14	2	0	11	0	2	0	12	15	10	22	23	1	0	0	40	3	3	6	3	1	0	0	0	1	5	2	0	4	0	1	0	0	1	0	1	0
a10g09_t3	352	12	326	163	60	8	11	1	5	31	12	2	12	4	12	2	17	20	13	36	42	1	0	7	75	8	4	8	11	0	0	0	0	0	1	6	0	2	1	1	0	0	0	2	2	0
a10g09_t4	255	17	236	107	40	7	3	1	1	21	5	5	9	3	5	5	10	9	5	27	31	0	0	5	51	3	0	7	4	4	0	0	0	1	1	6	1	3	3	3	0	0	0	0	0	1
a10g10_t1	196	5	179	94	51	6	10	0	0	4	0	0	4	1	0	0	4	15	6	26	16	0	0	1	22	1	1	10	5	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0
a10g10_t2	535	12	475	242	128	9	24	4	5	17	0	2	8	2	0	2	13	27	17	53	43	1	0	3	78	13	6	20	11	1	0	0	0	0	2	9	0	2	0	0	0	0	0	0	0	0
a10g10_t3	321	13	285	139	55	3	3	1	8	24	3	0	10	0	5	0	16	25	18	19	32	0	0	4	56	8	3	13	13	0	1	0	0	1	0	8	0	1	1	2	0	0	0	0	0	1
a10g10_t4	291	12	263	130	56	6	6	3	1	12	2	2	6	2	3	2	6	17	13	23	31	2	0	5	51	6	0	10	15	0	0	0	0	1	0	8	0	1	3	0	0	0	0	0	0	0
