id	n_token	n_sent	n_word	ld	nn	np	nom	neo	pall	pposs	prefx	ppers1	ppers2	ppers3	pit	pron1	pron2	pron3	adj	atadj	prep	fin	past	will	vm	v	inf	pass	coord	subord	interr	imper	title	salut	greet	salutgreet	rl	rt	textual_theme_disc	textual_theme_conj	textual_theme	interpersonal_theme	advtheme	nptheme	pptheme	whtheme	infcltheme	subcltheme	subordtheme	interrotheme	verbtheme
a10g01_t1	43	2	40	24	10	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	3	5	0	0	0	11	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
a10g01_t2	34	2	32	21	9	0	2	1	1	0	0	0	0	1	0	0	0	1	4	2	4	3	0	0	0	6	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
a10g01_t3	469	30	411	230	97	12	11	0	24	5	0	1	1	12	2	2	1	16	22	19	41	56	7	1	5	89	9	8	16	15	1	0	0	0	0	0	0	1	0	8	8	0	2	17	4	0	3	1	4	1	0
a10g01_t4	202	12	182	102	47	6	6	2	6	1	0	0	0	3	1	0	0	4	16	16	21	14	2	4	0	33	5	0	9	4	0	0	0	0	0	0	0	0	0	2	2	0	2	9	1	0	0	0	0	0	0
a10g02_t1	254	6	240	125	57	4	7	1	8	3	0	0	0	4	1	0	0	7	16	15	29	24	3	0	2	43	6	2	10	11	1	0	0	0	0	0	0	2	0	1	1	0	0	5	1	0	0	0	0	0	0
a10g02_t2	136	5	129	53	20	2	5	0	17	6	0	0	0	11	1	0	0	17	2	1	18	14	0	1	1	24	2	0	4	9	0	0	0	0	0	0	0	2	0	1	1	0	0	3	2	0	0	0	0	0	0
a10g02_t3	218	9	201	92	42	2	2	1	10	1	0	1	0	8	0	1	0	9	9	6	25	24	1	0	2	38	1	6	7	11	0	0	0	0	0	0	0	3	0	1	1	0	0	7	2	0	0	0	0	0	0
a10g02_t4	108	5	101	51	21	4	3	0	7	1	0	0	0	5	2	0	0	6	6	2	17	11	5	0	0	14	3	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	1	0	0
a10g03_t1	113	7	105	64	29	4	0	0	7	4	0	0	0	3	0	0	0	7	8	7	8	12	0	1	0	20	2	0	7	4	0	0	0	0	0	0	0	1	0	1	1	0	0	5	0	0	0	1	1	0	1
a10g03_t2	289	9	262	135	60	6	6	1	24	8	0	1	1	12	0	1	3	18	16	11	28	33	6	0	3	46	2	2	12	8	1	0	0	0	0	0	0	0	0	2	2	0	0	2	5	0	0	0	0	0	1
a10g03_t3	230	8	204	104	44	3	6	1	18	7	0	1	1	6	3	1	1	13	10	9	16	26	6	0	2	44	5	3	9	6	0	0	0	0	0	0	0	1	0	4	4	0	0	5	2	0	0	0	0	0	0
a10g03_t4	239	8	220	124	47	14	2	4	17	3	1	3	1	7	0	5	1	9	10	6	19	25	10	0	3	43	3	3	11	7	0	0	0	0	0	0	0	1	0	0	0	1	1	5	0	0	1	0	1	0	0
a10g04_t1	185	6	172	96	42	7	8	0	7	1	0	0	0	6	0	0	0	7	6	5	23	18	5	0	0	34	4	1	4	7	1	0	0	0	0	0	0	0	0	1	1	0	0	4	2	0	0	0	0	0	0
a10g04_t2	327	19	299	145	64	1	5	1	31	5	2	9	1	13	1	9	1	20	14	10	30	38	5	0	4	68	7	0	6	7	0	0	0	0	0	0	0	1	2	3	5	0	0	16	1	0	0	1	1	0	0
a10g04_t3	215	19	191	102	39	2	4	0	18	2	0	3	0	9	1	3	0	11	15	8	17	27	0	0	2	42	1	4	6	7	3	0	0	0	0	0	1	1	3	6	9	0	0	13	1	1	0	0	0	2	0
a10g04_t4	193	15	171	91	30	1	2	1	23	1	1	4	0	13	5	5	0	14	18	10	15	26	8	0	3	40	3	1	6	4	1	0	0	0	0	0	0	1	1	2	3	0	0	12	1	1	0	0	0	0	1
a10g05_t1	110	3	102	45	24	4	3	0	7	1	1	0	0	5	0	0	0	7	5	4	18	8	3	0	0	12	0	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
a10g05_t2	332	13	293	163	69	6	2	1	16	4	0	1	1	9	2	1	1	13	14	9	24	32	5	1	4	57	8	3	5	9	1	0	0	0	0	0	0	1	0	1	1	0	0	7	4	0	0	2	2	0	0
a10g05_t3	122	5	112	60	24	2	4	1	6	3	0	0	0	3	0	0	0	6	5	6	14	14	0	0	0	27	1	4	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	3	2	0	0	0	0	0	0
a10g05_t4	242	12	222	124	42	6	3	0	16	4	1	2	6	3	0	2	8	6	16	10	17	30	0	2	5	50	1	2	10	3	1	1	0	1	0	1	1	3	0	2	2	0	0	9	0	0	0	1	1	0	1
a10g06_t1	230	8	206	116	55	4	3	1	7	4	0	0	0	3	1	1	0	6	13	8	19	27	3	0	1	37	1	2	6	14	1	0	0	0	0	0	0	2	0	1	1	0	0	8	0	0	0	0	0	0	0
a10g06_t2	217	8	195	106	43	0	4	1	11	2	1	0	0	8	2	0	0	11	17	10	18	19	1	0	1	35	9	0	7	4	0	0	0	0	0	0	0	1	0	0	0	0	0	3	4	0	1	0	1	0	0
a10g06_t3	211	7	200	95	35	1	4	0	15	2	0	5	0	7	3	5	0	9	8	5	19	23	3	0	1	50	7	4	4	12	1	0	0	0	0	0	0	1	0	2	2	0	1	3	2	0	1	0	1	0	0
a10g06_t4	211	7	202	103	44	6	3	3	13	3	0	2	0	8	4	3	0	10	8	2	22	24	3	0	2	39	5	4	6	12	0	0	0	0	0	0	0	0	0	2	2	0	0	5	2	0	0	0	0	0	0
a10g07_t1	151	6	138	71	33	4	5	0	9	3	0	0	0	6	2	0	0	9	4	3	20	16	2	0	0	25	2	1	4	2	1	0	0	0	0	0	0	3	0	1	1	0	0	5	1	0	0	0	0	0	0
a10g07_t2	136	7	119	62	30	0	3	1	9	2	0	1	1	5	1	2	1	6	10	7	16	12	2	1	0	21	3	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0
a10g07_t3	173	7	158	77	32	2	3	0	15	5	0	3	1	6	1	3	4	8	8	4	15	17	0	0	3	34	3	3	6	6	0	0	0	0	0	0	3	1	0	0	0	0	0	5	2	0	0	0	0	0	0
a10g07_t4	149	10	130	72	32	4	6	1	5	3	0	0	0	2	0	0	0	5	15	14	18	9	0	0	2	16	3	0	5	0	0	0	0	0	0	0	0	0	0	2	2	0	1	7	0	0	1	0	1	0	0
a10g08_t1	111	5	101	55	23	6	4	2	6	4	0	0	0	1	0	1	0	4	7	4	15	9	0	0	0	18	1	1	3	2	1	0	0	0	0	0	0	2	0	0	0	0	1	1	3	0	0	0	0	0	0
a10g08_t2	436	21	375	213	92	0	13	6	16	8	0	0	0	7	1	0	0	15	33	27	42	35	4	0	1	74	7	9	14	9	0	0	0	0	0	0	0	12	0	3	3	0	0	20	1	0	0	0	0	0	0
a10g08_t3	186	10	166	92	31	5	6	0	10	1	0	3	0	5	1	4	0	5	13	9	15	21	0	0	5	36	0	2	8	4	0	1	0	0	0	0	3	0	0	3	3	0	0	8	0	0	1	0	1	0	1
a10g08_t4	200	12	176	99	33	3	3	1	18	5	3	2	0	7	3	4	0	13	8	5	15	30	4	0	3	47	5	4	5	3	2	0	0	0	0	0	0	0	1	3	4	1	0	8	0	1	0	1	1	0	0
a10g09_t1	173	7	164	85	38	4	7	0	8	2	0	0	0	6	0	1	0	7	11	10	29	15	3	0	2	28	2	3	4	2	1	0	0	0	0	0	0	1	0	3	3	0	0	5	2	0	0	0	0	0	0
a10g09_t2	273	8	220	122	51	4	7	2	14	1	0	2	0	11	0	2	0	12	15	13	22	23	1	0	0	40	3	3	6	3	1	0	0	0	0	0	0	5	0	1	1	0	0	3	4	0	1	0	1	0	0
a10g09_t3	349	12	323	166	58	8	10	1	31	5	0	12	2	12	4	12	2	17	20	16	36	42	1	0	7	75	8	4	8	11	0	0	0	0	0	0	0	1	1	2	3	0	0	7	2	0	0	2	2	0	0
a10g09_t4	251	17	232	121	37	7	3	1	21	1	0	5	5	9	3	5	5	10	9	5	29	31	0	0	5	51	3	0	7	4	4	0	0	0	0	0	1	1	1	6	7	0	0	8	4	1	0	0	0	3	0
a10g10_t1	189	5	172	93	49	6	9	0	4	0	0	0	0	4	1	0	0	4	13	7	28	15	0	0	1	21	1	1	10	5	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
a10g10_t2	525	14	465	241	123	9	21	3	17	5	0	0	2	8	2	0	2	13	26	20	56	42	1	0	3	77	13	7	20	11	1	0	0	0	0	0	0	2	0	1	1	0	0	10	2	0	0	0	0	0	0
a10g10_t3	320	13	284	153	55	3	3	1	24	8	1	3	0	10	0	5	0	17	24	20	19	32	0	0	4	56	8	5	13	13	0	0	0	0	0	0	0	0	0	2	2	2	0	12	0	0	0	0	0	0	1
a10g10_t4	287	12	259	134	53	6	6	3	12	1	0	2	2	6	2	3	2	6	17	14	23	31	2	0	5	51	6	0	10	15	0	0	0	0	0	0	0	1	0	3	3	0	0	11	1	0	0	0	0	0	0
a10g11_t1	121	9	109	56	31	3	6	0	5	1	0	0	0	4	3	0	0	5	3	2	14	13	2	0	0	21	0	2	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
a10g11_t2	206	15	187	100	43	4	6	0	18	6	0	5	0	5	1	8	0	8	13	11	15	24	3	1	2	41	6	2	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	1	0	0
