"ID","SCHOOL","GRADE","COURSE","AGE","GENDER","COUNTRY.BIRTH","AGE.GERMANY","EDUCATION","DEGREE.MOTHER","DEGREE.FATHER","DOM1","DOM2","DOM3","DOM4","DOM5","ACQ1","ACQ1.PLACE","ACQ2","ACQ2.PLACE","ACQ3","ACQ3.PLACE","ACQ4","ACQ4.PLACE","ACQ5","ACQ5.PLACE","EXP1","EXP2","EXP3","EXP4","EXP5","SUM.EXP","LANG.LEARN","START.ENG","FLUENT.ENG","START.READ","FLUENT.READ","START.WRITE","FLUENT.WRITE","MONTHS.COUNTRY","MONTHS.FAMILY","MONTHS.SCHOOL","PROF.SPEAK","PROF.UNDER","PROF.READ","PROF.WRITE","INFL.FRIENDS","INFL.FAMILY","INFL.READ","INFL.CLASS","INFL.SELFSTUDY","INFL.TV","INFL.SOCIALMEDIA","INFL.MUSIC","EXPO.FRIENDS","EXPO.FAMILY","EXPO.READ","EXPO.CLASS","EXPO.SELFSTUDY","EXPO.TV","EXPO.SOCIALMEDIA","EXPO.MUSIC","SUM.EXPO","ENG.COURSE","ENG.GRADE","GER.COURSE","GER.GRADE","PERS1","PERS2","PERS3","PERS4","PERS5","PERS6","PERS7","PERS8","PERS9","PERS10","PERS11","PERS12","PERS13","PERS14","PERS15","PERS16","PERS17","PERS18","READ1.BOOKS","READ1.MAGA","READ1.GAMES","READ1.SMEDIA","READ1.APPS","READ1.WEB","READ2.BOOKS","READ2.MAGA","READ2.GAMES","READ2.SMEDIA","READ2.APPS","READ2.WEB","READ.FRIENDS","LexTALE.eng.w","LexTALE.eng.nw","LexTALE.ger.w","LexTALE.ger.nw","NVLT.1000","NVLT.2000","NVLT.3000","NVLT.4000","NVLT.5000","VLT.ACAD","VLT.10000"
"a10g01","a","10","gk1",NA,"Male","Germany",0,9.5,"Doctorate","IDK","German","English","Polish","Latin","Italian","German","Home","Other","Home","English","Community","Italian","School","Latin","School",50,5,45,0,0,100,6,5,9,10,11,12,12,1,0,0,9,8,9,8,4,"2",4,5,0,10,10,4,8,2,0,10,0,10,50,20,100,NA,11,NA,8,2,4,2,3,3,2,4,1,5,3,3,2,3,3,5,3,1,4,1,1,6,6,5,3,1,1,6,6,3,2,3,30,20,36,18,30,30,29,30,29,29,19
"a10g02","a","10","gk1",15,"Male","Germany",0,9.5,"Vocational education","Vocational education","German","English","Latin",NA,NA,"German","Home","English","School","Latin","School",NA,NA,NA,NA,75,25,0,0,0,100,5,6,11,12,13,11,12,1,0,0,8,9,9,8,0,"3",6,9,7,8,8,7,0,0,20,40,5,20,10,5,100,NA,11,NA,14,2,3,1,4,2,3,2,5,4,3,3,4,2,2,3,4,4,5,2,1,3,4,3,2,1,1,2,4,2,2,3,20,18,36,20,30,29,26,27,23,25,12
"a10g03","a","10","gk1",15,"Female","Germany",0,9.5,"(Fach-)Abitur","Bachelor, Diplom","German","English","Polish","French",NA,"German","Home","English","Home","Other","Home","French","School",NA,NA,60,20,20,0,0,100,6,6.5,10,6.5,11.5,7,12,0,0,0,9,10,9,8,4,"6",7,10,7,9,8,10,55,25,5,40,12.5,10,10,12.5,170,NA,11,NA,12,3,3,2,3,2,2,4,4,3,2,4,4,2,4,2,2,1,4,1,1,1,2,1,3,1,1,1,2,1,2,3,22,12,33,14,28,23,19,26,18,19,11
"a10g04","a","10","gk1",15,"Male","Germany",0,9.5,"(Fach-)Abitur","(Fach-)Abitur","German","English","Other","Latin",NA,"German","Home","English","School","Other","Home","Latin","School",NA,NA,80,15,5,0,0,100,5,6,12,12,13,12,14,1.5,0.5,0,8,8,9,7,0,"6",5,9,5,8,7,6,0,5,5,40,10,20,10,10,100,NA,11,NA,14,3,4,2,2,2,1,4,3,3,1,3,2,2,1,3,5,2,4,2,1,3,3,3,2,1,1,2,2,1,3,4,24,17,36,20,28,27,20,23,19,14,4
"a10g05","a","10","gk1",15,"Female","Germany",0,9.5,"Vocational education","Bachelor, Diplom","German","English","Latin",NA,NA,"German","Home","English","School","Latin","School",NA,NA,NA,NA,70,25,5,0,0,100,6,6.5,10,9,9,9,10,2,0,0,9,9,10,9,9,"8",9,7,7,10,10,10,5,5,0,10,0,30,40,0,90,"LK",12,"GK",13,2,3,2,2,1,2,4,4,5,3,4,5,2,1,3,4,3,4,1,1,1,6,2,2,1,1,1,5,1,2,3,20,13,37,20,30,28,18,26,19,25,19
"a10g06","a","10","gk1",15,"Female","Other",12.5,9.5,"Bachelor, Diplom","Bachelor, Diplom","Other","English","Other","French",NA,"Turkish","Home","English","School","German","School","French","School",NA,NA,100,90,100,30,0,320,6,6,10,9.5,10,8,10.5,0,0,0,10,10,10,10,7,"7",7,7,10,10,10,5,10,10,80,90,80,100,100,100,570,NA,NA,NA,NA,3,4,2,3,1,2,5,2,5,3,3,2,2,4,4,1,2,3,2,1,3,5,4,2,1,1,2,3,3,2,3,25,17,29,14,30,30,29,27,25,25,15
"a10g07","a","10","gk1",15,"Female","Germany",0,9.5,"Bachelor, Diplom","Bachelor, Diplom","German","English","Italian","Latin",NA,"German","Home","English","Home","Other","Home","Latin","School",NA,NA,50,35,15,0,0,100,4.5,6,14,9,10,8,12,0,0,0,8,9,8,7,5,"4",3,6,8,9,8,8,40,20,30,70,80,80,80,80,480,NA,NA,NA,NA,3,4,2,3,5,3,2,3,3,4,3,3,2,2,2,2,2,3,2,2,1,3,1,2,1,2,1,2,1,1,3,20,11,29,14,27,14,9,11,6,7,0
"a10g08","a","10","gk1",15,"Male","Other",6,9.5,"Master, Staatsexamen","IDK","English","German","Russian","Latin",NA,"Russian","Community","German","School","English","Other","Latin","School",NA,NA,20,40,39,1,0,100,4,10,13,11,12,12,14,0.5,0,0,10,10,10,10,1,"0",7,1,0,4,10,5,2,0,10,2,0,10,60,16,100,NA,13,NA,14,4,4,1,1,1,4,2,1,1,5,5,2,4,5,3,1,2,5,1,1,6,6,2,3,1,1,4,6,2,3,2,38,17,29,16,30,30,29,30,30,30,24
"a10g09","a","10","gk2",15,"Male","Germany",0,9.5,"Bachelor, Diplom","Bachelor, Diplom","German","English","Other","Latin",NA,"German","Home","English","School","Latin","School","Ancient Greek",NA,NA,NA,60,35,0.5,4.5,0,100,5,5,12,6,12,6,13,1.5,4,0,7,9,9,7,3,"1",5,10,1,7,9,8,5,1,3,5,1,15,20,40,90,"GK",14,"GK",11,4,5,1,1,1,4,1,2,2,4,5,1,3,5,4,2,1,4,2,1,3,6,3,5,1,1,1,6,2,5,3,22,19,29,19,30,29,28,29,27,30,19
"a10g10","a","10","gk2",15,"Male","Germany",0,9.5,"Bachelor, Diplom","(Fach-)Abitur","German","English","Latin",NA,NA,"German","Home","English","School","Latin","School",NA,NA,NA,NA,65,33,2,0,0,100,6,7,11.5,7,11,11.5,11.5,2,0,0,9,9,9,10,0,"4",7,8,6,8,9,10,10,10,5,20,10,15,25,5,100,NA,11,NA,11,4,5,2,2,2,3,1,2,2,1,5,1,4,4,4,1,2,5,1,1,3,6,3,4,1,3,4,5,4,5,4,30,13,36,15,30,27,25,26,25,29,18
"a10g11","a","10","gk2",15,"Female","Germany",0,9.5,"Bachelor, Diplom","Vocational education","German","English","Latin",NA,NA,"German","Home","English","School","Latin","School",NA,NA,NA,NA,90,9.5,0.5,0,0,100,3,9,14,12,14,11,14,0,0,0,4,7,6,5,4,"2",3,6,6,9,5,7,3,0.5,3,5.5,5,40,3,40,100,NA,8,NA,8,2,3,3,4,2,2,3,4,4,4,3,2,3,4,3,2,1,4,1,1,3,2,1,2,1,1,3,2,2,1,1,25,7,31,16,29,13,7,12,12,14,0
"a10g12","a","10","gk2",16,"Female","Germany",0,10.5,"IDK","IDK","German","Other","English","Latin",NA,"German","Home","Other","Home","English","School","Latin","School",NA,NA,40,30,30,0,0,100,5,3,7,7,10,6,10,6,1,NA,9,10,8,8,7,"5",7,9,7,10,10,10,10,5,5,20,5,25,15,15,100,NA,14,NA,11,2,2,2,2,3,4,4,3,3,3,2,2,4,4,3,4,2,3,2,1,2,6,4,4,1,1,2,6,4,3,4,29,12,31,15,29,29,29,28,25,26,17
"a10g13","a","10","gk2",15,"Female","Germany",0,9.5,"Bachelor, Diplom","Bachelor, Diplom","German","English","Latin","French",NA,"German","Home","English","School","Latin","School","French","School",NA,NA,60,30,0,10,0,100,4,6,12,8,10,9,12,2,0,0,7,9,9,8,3,"2",10,7,6,10,10,7,2.5,2.5,25,10,5,25,20,10,100,NA,14,NA,11,3,3,1,3,2,5,1,2,4,4,4,2,3,4,3,1,3,4,4,1,1,6,3,3,3,1,1,5,2,2,2,19,15,27,19,30,25,17,20,15,23,5
"a10g14","a","10","gk2",15,"Male","Germany",0,9.5,"Bachelor, Diplom","Bachelor, Diplom","German","English","Other","Latin",NA,"Other","Home","German","Home","English","School","Latin","School",NA,NA,10,59,30,1,0,100,4,6,13,10,13,10,14,0.5,0.5,0.5,7,9,9,8,3,"1",9,7,6,9,7,3,1,1,40,30,5,15,5,3,100,"GK",11,"GK",12,5,5,2,5,1,5,3,1,4,5,5,3,2,4,2,1,2,4,1,3,5,1,6,5,1,3,5,1,6,3,5,22,17,36,18,30,28,22,23,20,24,13
"a10g15","a","10","gk2",15,"Female","Germany",0,9.5,"(Fach-)Abitur","Vocational education","German","English","Latin",NA,NA,"German","Home","English","School","Latin","School",NA,NA,NA,NA,70,30,0,0,0,100,6,7,10,10,12,7.5,10,0,0,0,10,9,9,8,5,"8",9,10,8,10,10,10,2,3,10,15,5,20,25,20,100,"LK",8,"LK",8,3,4,2,4,4,2,3,1,2,5,2,2,5,5,5,1,2,5,3,2,1,4,3,3,1,1,1,4,3,2,3,24,15,35,17,30,24,19,16,15,15,7
"a10g16","a","10","gk2",15,"Male","Germany",0,10.5,"Doctorate","Bachelor, Diplom","German","English","Latin","Dutch",NA,"German","Home","English","Home","Latin","School","Dutch","Community",NA,NA,70,20,5,5,0,100,5,5,11,9,10,9,11,2,1,0,7,9,9,5,5,"4",5,8,3,5,9,9,5,5,5,15,0,0,25,15,70,NA,13,NA,9,4,3,2,2,1,5,1,2,3,4,4,1,2,5,5,4,3,5,4,2,5,6,1,2,2,1,4,5,1,1,4,21,18,35,18,30,28,28,28,22,28,18
"a10g17","a","10","gk2",15,"Female","Germany",0,10.5,"Master, Staatsexamen","Master, Staatsexamen","German","English","Latin","French",NA,"German","Home","English","School","Latin","School","French","School",NA,NA,70,25,1,4,0,100,6,4.5,10,9,11.5,7.5,10.5,0,0,0,10,9,9,8,5,"7",9,10,7,10,10,10,2,3,10,15,5,25,20,20,100,"GK",14,"LK",14,4,4,1,3,3,2,1,1,2,5,2,1,5,4,5,1,1,5,3,2,1,4,3,3,3,1,1,4,3,2,4,27,15,37,18,30,28,21,21,18,20,9
"a10g18","a","10","gk2",15,"Male","Germany",0,9.5,"Vocational education","Bachelor, Diplom","German","English","Latin","French","Spanish","German","Home","English","School","Spanish","Other","Latin","School","French","School",70,20,5,0,5,100,6,6,10,9,11,10.5,12.5,0,0,0,9,10,8,9,3,"5",4,8,6,10,10,5,5,10,5,20,5,30,20,5,100,NA,14,NA,11,2,4,3,4,2,3,2,4,4,4,4,2,3,4,4,2,1,4,1,1,4,3,3,4,1,1,3,3,2,2,4,20,19,32,19,30,30,27,25,18,25,10
