"TASK_ID","COURSE","TASK","T.CURR","GENRE","GENRE_FAMILY","OPERATOR.17","OPERATOR.25","SOURCE_TEXT_TITLE","SOURCE_TEXT_TYPE","PUBLICATION","AUTHOR","PROMPT"
"a10gk1_t1","a10gk1","t1","int.reading","describing","descriptive report","summarize","summarize","Is the usefulness of unions in the protection of workers rights coming to an-end? The answer is yes.","news article","The Gulf News","Brian Pollard","Sum up the author's opinion on the usefulness of unions."
"a10gk1_t2","a10gk1","t2","analysis","responding","interpretation","analyze","analyze","Is the usefulness of unions in the protection of workers rights coming to an-end? The answer is yes.","news article","The Gulf News","Brian Pollard","Analyze how the author tries to persuade the reader of his opinion. Focus on communicative strategies."
"a10gk1_t3a","a10gk1","t3a","argumentative","responding","critical response","comment","comment","Is the usefulness of unions in the protection of workers rights coming to an-end? The answer is yes.","news article","The Gulf News","Brian Pollard","Comment on Brian Pollard's statement, that""[ ... ] in the twenty-first century the situation has changed, workers are not being exploited by employers, now employers are being exploited by employees."" Refer to your knowledge from classwork concerning working conditions in a globalised world."
"a10gk1_t4","a10gk1","t4","mediation","inquiring","problem-solution report","magazine","magazine","Fast Fashion: ""Unser Kleiderkonsum ist Wahnsinn""","news article","Spiegel Online","Jörg Oberwittler","You are spending an exchange year in the USA. Your social sciences class is discussing issues of globalization and fair trade. Yout teacher has asked you to write an article about fast fashion for the school magazine. Use the information in the text to write about problems in the textile industry - as they are being discussed in Germany - as well as measures to improve the situation. "
"a10gk2_t1","a10gk2","t1","int.reading","describing","descriptive report","summarize","summarize","Is the usefulness of unions in the protection of workers rights coming to an-end? The answer is yes.","news article","The Gulf News","Brian Pollard","Sum up the author's opinion on the usefulness of unions."
"a10gk2_t2","a10gk2","t2","analysis","responding","interpretation","analyze","analyze","Is the usefulness of unions in the protection of workers rights coming to an-end? The answer is yes.","news article","The Gulf News","Brian Pollard","Analyze how the author tries to persuade the reader of his opinion. Focus on communicative strategies."
"a10gk2_t3a","a10gk2","t3a","argumentative","responding","critical response","comment","comment","Is the usefulness of unions in the protection of workers rights coming to an-end? The answer is yes.","news article","The Gulf News","Brian Pollard","Comment on Brian Pollard's statement, that""[ ... ] in the twenty-first century the situation has changed, workers are not being exploited by employers, now employers are being exploited by employees."" Refer to your knowledge from classwork concerning working conditions in a globalised world."
"a10gk2_t4","a10gk2","t4","mediation","inquiring","problem-solution report","magazine","magazine","Fast Fashion: ""Unser Kleiderkonsum ist Wahnsinn""","news article","Spiegel Online","Jörg Oberwittler","You are spending an exchange year in the USA. Your social sciences class is discussing issues of globalization and fair trade. Yout teacher has asked you to write an article about fast fashion for the school magazine. Use the information in the text to write about problems in the textile industry - as they are being discussed in Germany - as well as measures to improve the situation. "
"a10gk3_t1","a10gk3","t1","int.reading","describing","descriptive report","summarize","outline","Globalised Environmental Pollution - Causes and Effects","blog entry","Blog on Environment","Anika Mitra","Outline in your own words how Ankita Mitra describes environmental pollution as well as its causes and effects."
"a10gk3_t2","a10gk3","t2","analysis","responding","interpretation","analyze","analyze","Globalised Environmental Pollution - Causes and Effects","blog entry","Blog on Environment","Anika Mitra","Analyze the stylistic devices and communicative strategies she uses to underline her message."
"a10gk3_t3a","a10gk3","t3a","argumentative","inquiring","problem-solution report","comment","comment","Globalised Environmental Pollution - Causes and Effects","blog entry","Blog on Environment","Anika Mitra","A lot of pollution derives from (stammt von) human activity. As a result, it is we humans who will be able to stop pollution. Write a comment and suggest necessary as well as feasible (machbar, umsetzbar) measures to help solving the global problem of environmental pollution."
